Source;Continent;Target;Continent 2;Export;Import
Belgium;Europe;Afghanistan;Asia;86,58092;0,50392
Belgium;Europe;Angola;Africa;252,42795;615,02413
Belgium;Europe;Anguila;Africa;0,01405;0,0021
Belgium;Europe;Albania;Europe;58,20818;4,38394
Belgium;Europe;United Arab Emirates;Asia;3829,23749;1636,6152
Belgium;Europe;Argentina;America;511,76008;208,0149
Belgium;Europe;Armenia;Europe;43,45548;29,54832
Belgium;Europe;American Samoa;America;0,08152;0,00758
Belgium;Europe;Antarctica;Antarctica;0,35091;0,00599
Belgium;Europe;Antigua and Barbuda;America;1,63494;2,03789
Belgium;Europe;Austria;Europe;3377,33658;2877,41071
Belgium;Europe;Azerbaijan;Asia;55,77923;6,08087
Belgium;Europe;Burundi;Africa;36,12197;2,20563
Belgium;Europe;Benin;Africa;96,52369;5,38652
Belgium;Europe;Burkina Faso;Africa;99,43712;2,32839
Belgium;Europe;Bangladesh;Asia;162,96156;548,9883
Belgium;Europe;Bulgaria;Europe;828,98601;1246,63421
Belgium;Europe;Bahrain;Asia;80,49026;117,64135
Belgium;Europe;Bahamas, The;America;7,54256;0,1569
Belgium;Europe;Bosnia and Herzegovina;Europe;93,10891;26,31942
Belgium;Europe;Belarus;Europe;175,11842;175,54468
Belgium;Europe;Belize;America;3,85186;0,5099
Belgium;Europe;Bermuda;America;0,31505;0,00441
Belgium;Europe;Bolivia;America;28,17998;42,67766
Belgium;Europe;Brazil;America;2491,21422;1751,52456
Belgium;Europe;Barbados;America;2,29615;0,07133
Belgium;Europe;Brunei;Asia;12,26319;0,08481
Belgium;Europe;Bhutan;Asia;1,29782;0,00314
Belgium;Europe;Botswana;Africa;569,11684;1267,83642
Belgium;Europe;Central African Republic;Africa;18,30386;5,66238
Belgium;Europe;Canada;America;3730,82003;3147,44155
Belgium;Europe;Switzerland;Europe;5034,76372;8344,17745
Belgium;Europe;Chile;America;536,08889;228,91217
Belgium;Europe;China;Asia;7124,45482;12492,74393
Belgium;Europe;Cameroon;Africa;230,90198;94,19322
Belgium;Europe;Congo, Rep.;Africa;101,58861;17,17534
Belgium;Europe;Cook Islands;Oceania;0,39436;0,00048
Belgium;Europe;Colombia;Africa;432,15578;123,21205
Belgium;Europe;Cape Verde;Africa;16,67372;0,05194
Belgium;Europe;Costa Rica;America;71,99208;509,17395
Belgium;Europe;Cuba;America;35,26899;58,73332
Belgium;Europe;Curaçao;America;7,44131;0,01526
Belgium;Europe;Cyprus;Europe;172,67938;37,28693
Belgium;Europe;Czech Republic;Europe;3490,18046;4311,98957
Belgium;Europe;Germany;Europe;65823,69577;63246,18068
Belgium;Europe;Djibouti;Africa;17,4176;0,07636
Belgium;Europe;Dominica;America;0,4019;0,0043
Belgium;Europe;Denmark;Europe;2845,99372;1676,12563
Belgium;Europe;Dominican Republic;America;91,71528;59,76235
Belgium;Europe;Algeria;Africa;541,52351;579,55431
Belgium;Europe;Ecuador;Oceania;129,37333;71,81906
Belgium;Europe;Egypt, Arab Rep.;Africa;1864,13609;176,84326
Belgium;Europe;Eritrea;Africa;1,94985;0,03525
Belgium;Europe;Spain;Europe;10227,51661;8333,33998
Belgium;Europe;Estonia;Europe;394,26468;238,4048
Belgium;Europe;Ethiopia(excludes Eritrea);Africa;205,78651;21,37939
Belgium;Europe;Finland;Europe;1839,25522;1280,3391
Belgium;Europe;Fiji;Oceania;4,43458;0,01567
Belgium;Europe;Falkland Island;America;0,7024;0,19739
Belgium;Europe;France;Europe;53115,65545;40560,503
Belgium;Europe;Gabon;Africa;70,74699;79,22725
Belgium;Europe;United Kingdom;Europe;23950,12955;11158,76198
Belgium;Europe;Georgia;Asia;69,07456;46,1503
Belgium;Europe;Ghana;Africa;384,10565;114,20868
Belgium;Europe;Gibraltar;Europe;146,49933;8,64288
Belgium;Europe;Guinea;Oceania;181,71627;10,08234
Belgium;Europe;Gambia, The;Africa;25,53091;0,29808
Belgium;Europe;Guinea-Bissau;Africa;7,84026;0,00034
Belgium;Europe;Equatorial Guinea;Africa;11,18074;0,65404
Belgium;Europe;Greece;Europe;1476,04685;283,45175
Belgium;Europe;Grenada;America;0,78439;0,00389
Belgium;Europe;Guatemala;America;78,10278;42,70749
Belgium;Europe;Guam;Oceania;0,42148;0,00248
Belgium;Europe;Guyana;America;11,21134;12,62828
Belgium;Europe;Hong Kong, China;Asia;1409,10266;377,7229
Belgium;Europe;Honduras;America;25,26522;80,05483
Belgium;Europe;Croatia;Europe;649,38865;188,34429
Belgium;Europe;Haiti;America;20,73982;4,08751
Belgium;Europe;Hungary;Europe;2224,23238;2526,79922
Belgium;Europe;Indonesia;Asia;649,9944;719,60203
Belgium;Europe;India;Asia;6897,87789;4773,37385
Belgium;Europe;Ireland;Europe;2684,78878;21998,10318
Belgium;Europe;Iran, Islamic Rep.;Asia;190,53534;21,88806
Belgium;Europe;Iraq;Asia;349,95964;4,05756
Belgium;Europe;Iceland;Europe;132,50121;61,40695
Belgium;Europe;Israel;Asia;2572,6029;832,67796
Belgium;Europe;Italy;Europe;15589,00649;17202,06886
Belgium;Europe;Jamaica;Africa;52,36802;2,6691
Belgium;Europe;Jordan;Asia;232,24814;39,27183
Belgium;Europe;Japan;Asia;8260,0274;8856,04445
Belgium;Europe;Kazakhstan;Asia;357,35657;177,54017
Belgium;Europe;Kenya;Africa;245,47431;24,90859
Belgium;Europe;Kyrgyz Republic;Asia;13,53398;0,26897
Belgium;Europe;Cambodia;Asia;64,65052;58,81267
Belgium;Europe;Kiribati;Oceania;0,05262;0,00028
Belgium;Europe;St. Kitts and Nevis;America;0,25675;0,24089
Belgium;Europe;Korea, Rep.;Asia;3096,31042;2676,71551
Belgium;Europe;Kuwait;Asia;267,44808;172,70475
Belgium;Europe;Lao PDR;Asia;101,75976;24,37581
Belgium;Europe;Lebanon;Asia;200,02782;39,129
Belgium;Europe;Liberia;Africa;48,6209;27,01793
Belgium;Europe;Libya;Africa;356,37408;22,50962
Belgium;Europe;St. Lucia;America;2,13709;0,01064
Belgium;Europe;Sri Lanka;Asia;136,76785;204,21845
Belgium;Europe;Lesotho;Africa;6,06297;252,10155
Belgium;Europe;Lithuania;Europe;844,08343;660,93969
Belgium;Europe;Luxembourg;Europe;7153,78804;1926,7101
Belgium;Europe;Latvia;Europe;373,73732;200,87428
Belgium;Europe;Morocco;Africa;965,65444;500,75839
Belgium;Europe;Moldova;Europe;57,43128;12,59715
Belgium;Europe;Madagascar;Africa;48,01295;15,95105
Belgium;Europe;Maldives;Asia;6,75835;0,38309
Belgium;Europe;Mexico;America;1334,75819;3686,63011
Belgium;Europe;Marshall Islands;Oceania;0,29979;19,84673
Belgium;Europe;North Macedonia;Europe;91,29529;59,14275
Belgium;Europe;Mali;Africa;122,38146;4,64454
Belgium;Europe;Malta;Europe;123,72635;52,7277
Belgium;Europe;Myanmar;Asia;35,48177;126,84007
Belgium;Europe;Mongolia;Asia;25,48361;6,79507
Belgium;Europe;Montenegro;Europe;16,83036;0,61719
Belgium;Europe;Mozambique;Africa;99,22451;3,88619
Belgium;Europe;Mauritania;Africa;108,39253;0,34868
Belgium;Europe;Mauritius;Africa;112,63475;21,22932
Belgium;Europe;Malawi;Africa;23,37204;19,99501
Belgium;Europe;Malaysia;Asia;1060,39687;1250,96385
Belgium;Europe;Namibia;Africa;11,03502;564,17512
Belgium;Europe;New Caledonia;Oceania;19,72237;11,30466
Belgium;Europe;Niger;Africa;47,20347;0,05611
Belgium;Europe;Nigeria;Africa;2302,90027;295,7711
Belgium;Europe;Nicaragua;America;9,55436;26,24636
Belgium;Europe;Netherlands;Europe;47637,74118;83001,11546
Belgium;Europe;Norway;Europe;2319,12143;7585,17917
Belgium;Europe;Nepal;Asia;49,57481;3,14152
Belgium;Europe;Nauru;Oceania;0,00469;0,0017
Belgium;Europe;New Zealand;Oceania;432,04151;362,54973
Belgium;Europe;Oman;Asia;186,52196;23,0772
Belgium;Europe;Pakistan;Asia;731,94343;272,39074
Belgium;Europe;Panama;America;134,13558;24,33763
Belgium;Europe;Pitcairn;Oceania;0,03714;0,00067
Belgium;Europe;Peru;America;230,77439;170,87905
Belgium;Europe;Philippines;Asia;690,26681;176,90228
Belgium;Europe;Palau;Oceania;0,00466;0,00008
Belgium;Europe;Papua New Guinea;Oceania;13,20458;17,85723
Belgium;Europe;Poland;Europe;9434,41574;6436,07975
Belgium;Europe;Portugal;Europe;1990,19015;1340,47985
Belgium;Europe;Paraguay;Europe;48,43001;48,11432
Belgium;Europe;French Polynesia;Oceania;13,63311;0,72038
Belgium;Europe;Qatar;Asia;337,36196;1243,02052
Belgium;Europe;Romania;Europe;2156,70518;1380,36034
Belgium;Europe;Russian Federation;Asia;3778,3204;7488,30467
Belgium;Europe;Rwanda;Africa;79,08878;4,53298
Belgium;Europe;Saudi Arabia;Asia;1931,44296;1184,05125
Belgium;Europe;Senegal;Africa;662,46543;8,10485
Belgium;Europe;Serbia, FR(Serbia/Montenegro);Europe;463,21868;258,64362
Belgium;Europe;Singapore;Asia;1604,41943;3134,6389
Belgium;Europe;Solomon Islands;Oceania;0,6441;0,10788
Belgium;Europe;Sierra Leone;Africa;82,42251;161,135
Belgium;Europe;El Salvador;America;14,50123;5,44704
Belgium;Europe;Somalia;Africa;2,75978;0,07011
Belgium;Europe;Sudan;Africa;67,28157;13,73425
Belgium;Europe;Suriname;America;16,22166;68,55298
Belgium;Europe;Slovak Republic;Europe;1132,75483;1453,11057
Belgium;Europe;Slovenia;Europe;593,30639;353,40991
Belgium;Europe;Sweden;Europe;6153,25046;6297,58912
Belgium;Europe;Eswatini;Europe;5,32263;1,02468
Belgium;Europe;Seychelles;Africa;4,30884;0,50261
Belgium;Europe;Syrian Arab Republic;Asia;39,4412;1,30838
Belgium;Europe;Turks and Caicos Isl.;America;0,4307;0,20639
Belgium;Europe;Chad;Africa;22,39033;0,02278
Belgium;Europe;Togo;Africa;136,03671;20,04245
Belgium;Europe;Thailand;Asia;968,74362;1103,42034
Belgium;Europe;Tajikistan;Asia;7,05909;38,68624
Belgium;Europe;Turkmenistan;Asia;17,30327;1,00975
Belgium;Europe;East Timor;Asia;0,36734;0,0002
Belgium;Europe;Tonga;Africa;0,23332;0,0019
Belgium;Europe;Trinidad and Tobago;Africa;40,64584;338,55271
Belgium;Europe;Tunisia;Africa;366,44087;205,95565
Belgium;Europe;Turkey;Asia;5196,20645;3458,40005
Belgium;Europe;Tuvalu;Oceania;0,00387;0,00077
Belgium;Europe;Tanzania;Africa;86,10909;23,44899
Belgium;Europe;Uganda;Africa;146,00447;14,93984
Belgium;Europe;Ukraine;Europe;686,8478;615,7442
Belgium;Europe;Uruguay;America;113,28375;23,80879
Belgium;Europe;United States;America;26690,62472;19271,28492
Belgium;Europe;Uzbekistan;Asia;49,26637;5,17373
Belgium;Europe;St. Vincent and the Grenadines;America;0,38542;0,02842
Belgium;Europe;Venezuela;America;24,6388;37,64656
Belgium;Europe;British Virgin Islands;Europe;0,20761;0,35355
Belgium;Europe;Vietnam;Asia;900,30178;837,11013
Belgium;Europe;Vanuatu;Oceania;0,28192;0,00188
Belgium;Europe;Wallis and Futura Isl.;Oceania;1,0157;0,00244
Belgium;Europe;Samoa;America;0,00277;0,0272
Belgium;Europe;Yemen;Asia;115,52129;4,33917
Belgium;Europe;South Africa;Africa;1398,25757;2832,53989
Belgium;Europe;Congo, Dem. Rep.;Africa;318,37289;83,14107
Belgium;Europe;Zambia;Africa;41,43441;17,55933
Belgium;Europe;Zimbabwe;Africa;22,45665;77,72504
Canada;America;Afghanistan;Asia;1,58532;7,15991
Canada;America;Angola;Africa;51,91395;0,31655
Canada;America;Anguila;Africa;1,56477;0,14592
Canada;America;Albania;Europe;59,16677;10,20839
Canada;America;United Arab Emirates;Asia;1568,51744;438,33191
Canada;America;Argentina;America;283,78996;772,2052
Canada;America;Armenia;Europe;8,74021;8,94087
Canada;America;American Samoa;America;1,93588;0,53632
Canada;America;Antarctica;Antarctica;3,18191;0,10384
Canada;America;Antigua and Barbuda;America;23,9361;0,3255
Canada;America;Austria;Europe;271,97231;1842,95044
Canada;America;Azerbaijan;Asia;4,19952;301,80439
Canada;America;Burundi;Africa;1,24035;0,41501
Canada;America;Belgium;Europe;3156,61779;3881,27483
Canada;America;Benin;Africa;28,3658;0,51798
Canada;America;Burkina Faso;Africa;40,30161;2,14908
Canada;America;Bangladesh;Asia;792,92065;1504,68467
Canada;America;Bulgaria;Europe;146,11026;155,51519
Canada;America;Bahrain;Asia;173,47698;46,05876
Canada;America;Bahamas, The;America;284,27549;8,80508
Canada;America;Bosnia and Herzegovina;Europe;3,31621;24,11413
Canada;America;Belarus;Europe;12,53233;26,28033
