Source,Target,Import,Export
Algeria,Italy,3755.0,5629.48
Algeria,China,8317.84,691.61
Algeria,France,4297.51,4431.26
Algeria,Spain,3130.6,4103.37
Algeria,United States,1841.54,3467.91
Algeria,Turkey,2007.92,1837.06
Algeria,Brazil,1374.14,2127.96
Algeria,Germany,3223.25,14.05
Algeria,Netherlands,702.62,1903.44
Algeria,"Korea, Rep.",1689.71,892.18
Algeria,United Kingdom,583.74,1606.17
Algeria,India,983.92,871.52
Algeria,Belgium,634.0,920.59
Algeria,Argentina,1518.4,16.86
Algeria,Portugal,404.79,955.8
Algeria,Canada,603.42,668.03
Algeria,Russian Federation,1220.64,6.29
Algeria,Tunisia,329.59,753.42
Algeria,"Egypt, Arab Rep.",420.71,456.83
Algeria,Morocco,261.41,450.37
Algeria,Japan,437.83,249.45
Algeria,Romania,623.39,0.02
Algeria,Ukraine,602.96,10.17
Algeria,Greece,166.3,427.92
Algeria,Indonesia,253.31,301.52
Algeria,New Zealand,542.4,0.03
Algeria,Saudi Arabia,530.65,3.96
Algeria,Poland,458.39,21.61
Algeria,Vietnam,457.33,2.42
Algeria,Singapore,73.67,331.87
Algeria,Switzerland,340.27,30.61
Algeria,Cuba,1.12,353.58
Algeria,Austria,344.72,0.08
Algeria,Thailand,125.75,203.45
Algeria,Sweden,314.21,6.35
Algeria,United Arab Emirates,219.47,48.2
Algeria,Malaysia,156.58,103.66
Algeria,Ireland,246.97,3.33
Algeria,Estonia,30.15,218.25
Algeria,Jordan,104.94,132.85
Algeria,Czech Republic,222.76,0.37
Algeria,Australia,42.03,168.71
Algeria,"Other Asia, nes",126.04,52.57
Algeria,Finland,175.19,0.0
Algeria,Mexico,139.64,11.01
Algeria,Bulgaria,143.07,0.72
Algeria,Denmark,136.64,0.05
Algeria,Philippines,19.92,107.18
Algeria,Uruguay,117.27,1.72
Algeria,Tajikistan,82.72,34.18
Argentina,Brazil,12391.98,11766.92
Argentina,China,13525.04,6155.98
Argentina,United States,5922.12,4995.2
Argentina,India,1393.78,4293.27
Argentina,Chile,695.69,4204.88
Argentina,Vietnam,1184.39,3221.53
Argentina,Paraguay,2914.63,1292.63
Argentina,Netherlands,726.76,2984.6
Argentina,Germany,2527.15,810.67
Argentina,Spain,1083.5,1848.77
Argentina,"Korea, Rep.",648.25,1720.17
Argentina,Italy,1312.01,974.03
Argentina,Indonesia,378.53,1862.98
Argentina,Peru,191.69,2007.65
Argentina,"Egypt, Arab Rep.",575.07,1535.63
Argentina,Mexico,1403.15,696.17
Argentina,Thailand,1553.26,432.05
Argentina,Malaysia,529.11,1426.08
Argentina,Uruguay,540.89,1334.29
Argentina,Japan,1140.32,721.94
Argentina,Unspecified,688.66,1087.1
Argentina,Bolivia,1054.92,564.62
Argentina,Algeria,46.7,1467.38
Argentina,Switzerland,532.26,954.54
Argentina,Colombia,354.09,1129.88
Argentina,France,1002.65,431.98
Argentina,Russian Federation,650.71,679.98
Argentina,United Kingdom,540.52,760.36
Argentina,"Iran, Islamic Rep.",2.23,1201.55
Argentina,Saudi Arabia,317.58,850.45
Argentina,Canada,423.99,704.96
Argentina,United Arab Emirates,337.56,773.54
Argentina,Australia,408.84,620.72
Argentina,Poland,235.86,788.56
Argentina,Morocco,326.23,679.27
Argentina,Ecuador,313.78,616.96
Argentina,Bangladesh,14.04,875.66
Argentina,Belgium,467.59,419.76
Argentina,Turkey,312.98,557.48
Argentina,"Other Asia, nes",522.73,336.72
Argentina,Ireland,274.68,437.6
Argentina,South Africa,212.68,452.81
Argentina,Israel,152.58,366.42
Argentina,Qatar,463.01,23.26
Argentina,Philippines,125.58,348.33
Argentina,Iraq,0.0,407.04
Argentina,Dominican Republic,5.26,335.5
Argentina,Cuba,5.61,328.99
Argentina,Denmark,146.78,183.42
Argentina,Portugal,169.35,140.19
Australia,China,72858.76,116817.97
Australia,Unspecified,7240.81,62012.33
Australia,Japan,15778.72,30319.47
Australia,United States,26614.56,11021.95
Australia,"Korea, Rep.",9475.16,22592.87
Australia,India,6369.25,13624.04
Australia,Singapore,9783.22,6565.16
Australia,Thailand,11570.04,4226.4
Australia,Malaysia,10307.55,4210.4
Australia,"Other Asia, nes",4597.45,9210.68
Australia,New Zealand,5197.8,8194.25
Australia,Germany,11185.26,1749.43
Australia,Vietnam,5373.41,7009.17
Australia,Indonesia,3755.25,6996.48
Australia,United Kingdom,5592.65,3418.67
Australia,Italy,5885.52,730.04
