Source,Target,Import,Export,Continent
Algeria,Italy,3.755,5.629,Africa
Algeria,China,8.318,0.692,Africa
Algeria,France,4.298,4.431,Africa
Algeria,Spain,3.131,4.103,Africa
Algeria,United States,1.842,3.468,Africa
Algeria,Turkey,2.008,1.837,Africa
Algeria,Brazil,1.374,2.128,Africa
Algeria,Germany,3.223,0.014,Africa
Algeria,Netherlands,0.703,1.903,Africa
Algeria,"Korea, Rep.",1.69,0.892,Africa
Argentina,Brazil,12.392,11.767,South America
Argentina,China,13.525,6.156,South America
Argentina,United States,5.922,4.995,South America
Argentina,India,1.394,4.293,South America
Argentina,Chile,0.696,4.205,South America
Argentina,Vietnam,1.184,3.222,South America
Argentina,Netherlands,0.727,2.985,South America
Argentina,Germany,2.527,0.811,South America
Argentina,Spain,1.083,1.849,South America
Australia,China,72.859,116.818,Oceania
Australia,Japan,15.779,30.319,Oceania
Australia,United States,26.615,11.022,Oceania
Australia,"Korea, Rep.",9.475,22.593,Oceania
Australia,India,6.369,13.624,Oceania
Australia,Singapore,9.783,6.565,Oceania
Australia,Thailand,11.57,4.226,Oceania
Australia,Malaysia,10.308,4.21,Oceania
Austria,Germany,69.545,58.564,Europe
Austria,Italy,13.647,13.156,Europe
Austria,Switzerland,11.97,10.081,Europe
Austria,China,15.49,5.7,Europe
Austria,United States,6.722,12.746,Europe
Austria,Czech Republic,9.149,6.988,Europe
Austria,Poland,6.824,7.686,Europe
Austria,Hungary,5.537,7.174,Europe
Austria,France,5.323,7.372,Europe
Austria,Netherlands,5.596,3.723,Europe
Bahrain,Saudi Arabia,0.966,2.461,Asia
Bahrain,United Arab Emirates,1.045,1.623,Asia
Bahrain,Brazil,1.997,0.197,Asia
Bahrain,China,1.841,0.341,Asia
Bahrain,United States,0.739,1.336,Asia
Bahrain,India,0.734,0.395,Asia
Bahrain,Australia,1.024,0.1,Asia
Bahrain,"Egypt, Arab Rep.",0.087,0.73,Asia
Bahrain,Italy,0.505,0.226,Asia
Bahrain,Oman,0.102,0.57,Asia
Belarus,Russian Federation,11.949,13.972,Europe
Belarus,China,3.403,0.556,Europe
Belarus,Ukraine,1.439,1.215,Europe
Belarus,Poland,1.064,1.584,Europe
Belarus,Germany,1.504,0.79,Europe
Belarus,Italy,0.723,0.126,Europe
