Source,Target,Import,Export
Algeria,Italy,3755.0,5629.48
Algeria,China,8317.84,691.61
Algeria,France,4297.51,4431.26
Algeria,Spain,3130.6,4103.37
Algeria,United States,1841.54,3467.91
Algeria,Turkey,2007.92,1837.06
Algeria,Brazil,1374.14,2127.96
Algeria,Germany,3223.25,14.05
Algeria,Netherlands,702.62,1903.44
Algeria,"Korea, Rep.",1689.71,892.18
Algeria,United Kingdom,583.74,1606.17
Algeria,India,983.92,871.52
Algeria,Belgium,634.0,920.59
Algeria,Argentina,1518.4,16.86
Algeria,Portugal,404.79,955.8
Algeria,Canada,603.42,668.03
Algeria,Russian Federation,1220.64,6.29
Algeria,"Egypt, Arab Rep.",420.71,456.83
Algeria,Morocco,261.41,450.37
Argentina,Brazil,12391.98,11766.92
Argentina,China,13525.04,6155.98
Argentina,United States,5922.12,4995.2
Argentina,India,1393.78,4293.27
Argentina,Chile,695.69,4204.88
Argentina,Vietnam,1184.39,3221.53
Argentina,Netherlands,726.76,2984.6
Argentina,Germany,2527.15,810.67
Argentina,Spain,1083.5,1848.77
Argentina,"Korea, Rep.",648.25,1720.17
Argentina,Italy,1312.01,974.03
Argentina,Peru,191.69,2007.65
Argentina,"Egypt, Arab Rep.",575.07,1535.63
Argentina,Mexico,1403.15,696.17
Argentina,Thailand,1553.26,432.05
Argentina,Malaysia,529.11,1426.08
Argentina,Japan,1140.32,721.94
Australia,China,72858.76,116817.97
Australia,Japan,15778.72,30319.47
Australia,United States,26614.56,11021.95
Australia,"Korea, Rep.",9475.16,22592.87
Australia,India,6369.25,13624.04
Australia,Singapore,9783.22,6565.16
Australia,Thailand,11570.04,4226.4
Australia,Malaysia,10307.55,4210.4
Australia,New Zealand,5197.8,8194.25
Australia,Germany,11185.26,1749.43
Australia,Vietnam,5373.41,7009.17
Australia,United Kingdom,5592.65,3418.67
Australia,Italy,5885.52,730.04
Australia,France,4632.95,1366.86
Australia,Netherlands,2844.48,2567.42
Australia,"Hong Kong, China",661.76,4583.96
Australia,Switzerland,2751.82,1427.03
Austria,Germany,69544.61,58563.81
Austria,Italy,13646.78,13155.82
Austria,Switzerland,11969.96,10081.03
Austria,China,15489.57,5700.38
Austria,United States,6722.49,12746.47
Austria,Czech Republic,9148.84,6987.95
Austria,Poland,6824.39,7686.16
Austria,Hungary,5537.07,7173.92
Austria,France,5322.74,7371.76
Austria,Netherlands,5595.67,3722.64
Austria,United Kingdom,3280.51,5243.44
Austria,Slovak Republic,4240.93,3727.48
Austria,Belgium,3297.9,3399.18
Austria,Romania,2554.35,3508.05
Austria,Spain,3043.13,2933.59
Austria,Japan,2642.63,1916.06
Austria,Turkey,2648.32,1761.31
Austria,Sweden,1913.94,2085.48
Bahrain,Saudi Arabia,966.39,2460.69
Bahrain,United Arab Emirates,1045.2,1623.38
Bahrain,Brazil,1997.2,197.36
Bahrain,China,1840.78,341.13
Bahrain,United States,738.84,1335.72
Bahrain,India,733.73,395.38
Bahrain,Australia,1023.65,99.56
Bahrain,"Egypt, Arab Rep.",86.61,729.87
Bahrain,Italy,505.27,226.08
Bahrain,Oman,102.18,569.73
Bahrain,Japan,547.79,117.68
Bahrain,"Korea, Rep.",229.84,418.25
Bahrain,Germany,476.9,126.15
Bahrain,Netherlands,125.32,415.13
Bahrain,United Kingdom,461.71,74.4
Bahrain,Turkey,200.71,275.16
Bahrain,Spain,194.27,273.22
Bahrain,Kuwait,138.3,283.96
Bahrain,Algeria,0.13,332.38
Bahrain,Thailand,155.27,154.75
Belarus,Russian Federation,11948.93,13972.22
Belarus,China,3403.42,556.1
Belarus,Ukraine,1439.0,1214.66
Belarus,Poland,1063.59,1584.42
Belarus,Germany,1504.47,790.03
Belarus,Italy,722.89,126.17
Belarus,Kazakhstan,77.49,764.95
Belarus,Turkey,683.92,102.0
Belarus,United States,401.46,171.5
Belarus,Netherlands,220.44,280.31
Belarus,France,316.23,85.47
Belarus,United Kingdom,200.55,147.89
Belarus,Czech Republic,183.13,157.9
Belarus,Sweden,263.17,37.18
Belarus,Switzerland,271.91,13.9
Belarus,Norway,175.45,106.43
Belarus,Belgium,165.76,114.82
Belgium,Netherlands,83001.12,47637.74
Belgium,Germany,63246.18,65823.7
Belgium,France,40560.5,53115.66
Belgium,United States,19271.28,26690.62
Belgium,United Kingdom,11158.76,23950.13
Belgium,Italy,17202.07,15589.01
Belgium,Ireland,21998.1,2684.79
