Source,Target,Total,Continent
Algeria,Italy,9.384,Africa
Algeria,China,9.01,Africa
Algeria,France,8.729,Africa
Algeria,Spain,7.234,Africa
Algeria,United States of America,5.31,Africa
Algeria,Turkey,3.845,Africa
Algeria,Brazil,3.502,Africa
Algeria,Germany,3.237,Africa
Algeria,Netherlands,2.606,Africa
Algeria,Republic of Korea,2.582,Africa
Argentina,Brazil,24.159,South America
Argentina,China,19.681,South America
Argentina,United States of America,10.917,South America
Argentina,India,5.687,South America
Argentina,Chile,4.901,South America
Argentina,Vietnam,4.406,South America
Argentina,Netherlands,3.712,South America
Argentina,Germany,3.338,South America
Argentina,Spain,2.932,South America
Australia,China,189.677,Oceania
Australia,Japan,46.098,Oceania
Australia,United States of America,37.637,Oceania
Australia,Republic of Korea,32.068,Oceania
Australia,India,19.993,Oceania
Australia,Singapore,16.348,Oceania
Australia,Thailand,15.796,Oceania
Australia,Malaysia,14.518,Oceania
Austria,Germany,128.109,Europe
Austria,Italy,26.803,Europe
Austria,Switzerland,22.051,Europe
Austria,China,21.19,Europe
Austria,United States of America,19.468,Europe
Austria,Czech Republic,16.137,Europe
Austria,Poland,14.51,Europe
Austria,Hungary,12.711,Europe
Austria,France,12.695,Europe
Austria,Netherlands,9.319,Europe
Bahrain,Saudi Arabia,3.427,Asia
Bahrain,United Arab Emirates,2.668,Asia
Bahrain,Brazil,2.194,Asia
Bahrain,China,2.182,Asia
Bahrain,United States of America,2.075,Asia
Bahrain,India,1.129,Asia
Bahrain,Australia,1.124,Asia
Bahrain,Egypt,0.817,Asia
Bahrain,Italy,0.731,Asia
Bahrain,Oman,0.672,Asia
Belarus,Russian Federation,25.921,Europe
Belarus,China,3.959,Europe
Belarus,Ukraine,2.654,Europe
Belarus,Poland,2.648,Europe
Belarus,Germany,2.294,Europe
Belarus,Italy,0.849,Europe
Belarus,Kazakhstan,0.842,Europe
Belarus,Turkey,0.786,Europe
Belgium,Netherlands,130.639,Europe
Belgium,Germany,129.07,Europe
Belgium,France,93.677,Europe
Belgium,United States of America,45.962,Europe
Belgium,United Kingdom,35.109,Europe
Belgium,Italy,32.791,Europe
Belgium,Ireland,24.683,Europe
Belgium,China,19.617,Europe
Belgium,Spain,18.561,Europe
Belgium,Japan,17.116,Europe
Botswana,South Africa,5.32,Africa
Botswana,Belgium,2.959,Africa
Botswana,United Arab Emirates,2.32,Africa
Botswana,India,1.695,Africa
Botswana,Israel,0.491,Africa
Botswana,Singapore,0.437,Africa
Botswana,"Hong Kong, China",0.395,Africa
Botswana,China,0.293,Africa
Botswana,Canada,0.229,Africa
Brazil,China,141.372,South America
Brazil,United States of America,72.841,South America
Brazil,Argentina,24.291,South America
Brazil,Germany,16.964,South America
Brazil,India,12.033,South America
Brazil,Chile,11.571,South America
Brazil,Netherlands,11.534,South America
Brazil,Republic of Korea,11.13,South America
Brazil,Japan,10.967,South America
Brazil,Mexico,10.331,South America
Bulgaria,Germany,11.803,Europe
Bulgaria,Romania,7.649,Europe
Bulgaria,Turkey,6.179,Europe
Bulgaria,Italy,6.16,Europe
Bulgaria,Greece,5.414,Europe
Bulgaria,Russian Federation,4.04,Europe
Bulgaria,China,3.837,Europe
Bulgaria,Netherlands,2.997,Europe
Bulgaria,France,2.718,Europe
Bulgaria,Poland,2.694,Europe
Canada,United States of America,617.005,North America
Canada,China,90.965,North America
Canada,Mexico,33.536,North America
Canada,Japan,23.894,North America
Canada,Germany,20.39,North America
Canada,United Kingdom,19.423,North America
Canada,Republic of Korea,13.343,North America
Canada,Italy,10.48,North America
Canada,France,8.897,North America
Canada,Vietnam,8.372,North America
Chile,China,64.039,South America
Chile,United States of America,30.96,South America
Chile,Brazil,12.318,South America
Chile,Japan,9.378,South America
Chile,Republic of Korea,6.704,South America
Chile,Argentina,5.701,South America
Chile,Germany,4.023,South America
Chile,Mexico,3.922,South America
Chile,Spain,3.682,South America
Chile,Peru,3.458,South America
China,United States of America,758.097,Asia
China,Japan,371.347,Asia
China,Republic of Korea,362.292,Asia
China,"Hong Kong, China",359.142,Asia
China,Germany,235.102,Asia
China,Vietnam,230.221,Asia
China,Australia,230.114,Asia
China,Malaysia,176.891,Asia
China,Brazil,163.49,Asia
Colombia,United States of America,25.816,South America
Colombia,China,18.457,South America
Colombia,Brazil,5.551,South America
Colombia,Mexico,5.003,South America
Colombia,India,3.617,South America
Colombia,Germany,2.788,South America
Colombia,Panama,2.426,South America
Colombia,Spain,1.999,South America
Colombia,Peru,1.937,South America
"Congo, Rep.",China,1.541,Africa
"Congo, Rep.",France,0.333,Africa
"Congo, Rep.",Belgium,0.255,Africa
"Congo, Rep.",India,0.151,Africa
"Congo, Rep.",United Arab Emirates,0.141,Africa
"Congo, Rep.",United States of America,0.113,Africa
Costa Rica,United States of America,13.227,North America
Costa Rica,China,3.247,North America
Costa Rica,Mexico,1.538,North America
Costa Rica,Netherlands,1.15,North America
Costa Rica,Belgium,0.867,North America
Costa Rica,Panama,0.804,North America
Costa Rica,Japan,0.627,North America
Cyprus,Greece,2.764,Asia
Cyprus,Italy,1.096,Asia
Cyprus,Germany,0.757,Asia
Cyprus,United Kingdom,0.627,Asia
Cyprus,Netherlands,0.592,Asia
Cyprus,Israel,0.582,Asia
Cyprus,China,0.571,Asia
Cyprus,Spain,0.371,Asia
Cyprus,Lebanon,0.365,Asia
Czech Republic,Germany,120.553,Europe
Czech Republic,China,38.083,Europe
Czech Republic,Poland,32.597,Europe
Czech Republic,Slovak Republic,27.729,Europe
Czech Republic,Italy,17.737,Europe
Czech Republic,France,16.534,Europe
Czech Republic,Austria,16.07,Europe
Czech Republic,Netherlands,13.821,Europe
Czech Republic,Hungary,12.883,Europe
Czech Republic,United Kingdom,11.987,Europe
Denmark,Germany,41.301,Europe
Denmark,Sweden,27.015,Europe
Denmark,Netherlands,15.904,Europe
Denmark,China,14.17,Europe
Denmark,Norway,11.833,Europe
Denmark,United States of America,10.333,Europe
Denmark,Poland,9.538,Europe
Denmark,United Kingdom,8.961,Europe
Denmark,France,7.348,Europe
Egypt,China,11.298,Africa
Egypt,Saudi Arabia,8.25,Africa
Egypt,United States of America,7.264,Africa
Egypt,Turkey,5.778,Africa
Egypt,Italy,4.961,Africa
Egypt,India,4.797,Africa
Egypt,Germany,4.119,Africa
Egypt,United Arab Emirates,3.132,Africa
Egypt,Spain,3.094,Africa
Estonia,Finland,5.144,Europe
Estonia,Russian Federation,4.199,Europe
Estonia,Germany,3.594,Europe
Estonia,Sweden,3.063,Europe
Estonia,United States of America,2.459,Europe
Estonia,China,2.34,Europe
Estonia,Netherlands,1.918,Europe
Finland,Germany,23.296,Europe
Finland,Sweden,18.223,Europe
Finland,Russian Federation,14.413,Europe
Finland,China,12.03,Europe
Finland,Netherlands,8.826,Europe
Finland,United States of America,8.152,Europe
Finland,Italy,5.841,Europe
Finland,Estonia,5.56,Europe
Finland,Poland,4.979,Europe
France,Germany,201.586,Europe
France,Belgium,120.99,Europe
France,Italy,105.853,Europe
France,Spain,99.432,Europe
France,Netherlands,87.186,Europe
France,China,76.533,Europe
France,United States of America,72.335,Europe
France,United Kingdom,56.69,Europe
France,Switzerland,39.019,Europe
France,Poland,31.527,Europe
Germany,China,294.225,Europe
Germany,United States of America,231.403,Europe
Germany,Netherlands,215.619,Europe
Germany,France,194.091,Europe
Germany,Poland,173.829,Europe
Germany,Italy,165.97,Europe
Germany,Austria,134.453,Europe
Germany,Switzerland,134.381,Europe
Germany,Belgium,118.24,Europe
Germany,United Kingdom,115.486,Europe
Greece,Germany,23.001,Europe
Greece,Italy,21.469,Europe
Greece,China,13.541,Europe
Greece,Turkey,10.775,Europe
Greece,Russian Federation,10.666,Europe
Greece,France,10.498,Europe
Greece,Netherlands,10.396,Europe
Greece,Bulgaria,9.069,Europe
Greece,Spain,8.032,Europe
"Hong Kong, China",China,717.595,Asia
"Hong Kong, China",United States of America,69.895,Asia
"Hong Kong, China",Singapore,64.631,Asia
"Hong Kong, China",Japan,52.49,Asia
"Hong Kong, China",Republic of Korea,52.1,Asia
"Hong Kong, China",Vietnam,28.539,Asia
"Hong Kong, China",India,27.961,Asia
"Hong Kong, China",Malaysia,26.563,Asia
"Hong Kong, China",Thailand,23.436,Asia
Hungary,Germany,70.622,Europe
Hungary,Slovak Republic,15.47,Europe
Hungary,Austria,14.89,Europe
Hungary,Italy,14.415,Europe
Hungary,Poland,13.989,Europe
Hungary,Czech Republic,12.575,Europe
Hungary,China,12.301,Europe
Hungary,Netherlands,11.592,Europe
Hungary,Romania,11.399,Europe
Hungary,France,10.285,Europe
Iceland,Netherlands,2.151,Europe
Iceland,United States of America,1.109,Europe
Iceland,Germany,1.029,Europe
Iceland,United Kingdom,1.017,Europe
Iceland,Norway,0.955,Europe
Iceland,Spain,0.858,Europe
Iceland,China,0.825,Europe
Iceland,Denmark,0.742,Europe
Iceland,France,0.664,Europe
Iceland,Brazil,0.398,Europe
India,United States of America,112.897,Asia
India,China,110.572,Asia
